"createdAt","text"
"Tue Mar 18 05:50:21 +0000 2025","Significant Market Inflows - Buy the Dip! As noted in previous twt the market seems to be in ‘things will get better’ scenario psychologically. We’ll see. @spotgamma @jam_croissant @johnauthers @michaellebowitz #SPX500 #QQQ #SPY #ES_F #NVDA #AAPL #MSFT h/t @Mayhem4Markets"
"Tue Mar 18 04:31:39 +0000 2025","Great work, Don Don!🤣🤣🤣

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs https://t.co/mykZDJ6Lbb"
"Tue Mar 18 04:23:45 +0000 2025","#PierrePoilievre is a Baby Donnie #Maggot!💯🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Tue Mar 18 04:17:54 +0000 2025","Donnie keeps starting wars!🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Tue Mar 18 04:16:53 +0000 2025","Donnie's colossal FAIL!🤣🤣🤣

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Tue Mar 18 04:13:30 +0000 2025","And stock crashes as a result 🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs https://t.co/lxB4IReJK2"
"Tue Mar 18 04:10:14 +0000 2025","Donnie keeps starting more wars!🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Tue Mar 18 04:07:04 +0000 2025","I hope #Houthis don't launch a #US terrorist attack because of Donnie!

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oil #gas #Canada #tariffs"
"Tue Mar 18 04:03:37 +0000 2025","Donnie has so many wars as President!🤣🤣😄

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Tue Mar 18 03:46:48 +0000 2025","Wars continue with Donnie as President!🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Tue Mar 18 01:29:19 +0000 2025","I Started with $150 Trading Apple Stock Options ($AAPL) - Watch Me Win or Lose Big! Day 6 #stocks #OptionsTrading #trading #aapl #apple #TradingChallenge #BeginnerTrading #StocksToWatch #everyone

https://t.co/7B3CFaxG3v"
"Tue Mar 18 00:15:55 +0000 2025","Never heard anything so stupid as Donnie's latest!🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oil #gas #Canada #tariffs https://t.co/n8e3xWhWzG"
"Mon Mar 17 23:21:11 +0000 2025","@AnDan_23 Yes, this #AAPL find turned out to be sweet, I wonder who called that one out...? &lt;cough&gt; &lt;cough&gt;"
"Mon Mar 17 23:20:00 +0000 2025","#spx #es #SPY  Weekly chart, expanded  

#qqq #iwm #mag7 #aapl #msft #goog #nvda #nflx #meta https://t.co/yHggiqcy28"
"Mon Mar 17 23:14:48 +0000 2025","Chart of The Day from 13 March looking for #AAPL to see further downside within incomplete bearish sequence https://t.co/iHrJEsXCwj #elliottwave https://t.co/gq2SCe1GZg"
"Mon Mar 17 23:11:18 +0000 2025","#spx #es #SPY 

 The bearish case is intact with below 200 MA and weekly just turning red just last week. 

Don't be brave ! Market has had good run for very long time and now we have unstable governance. 

#qqq #iwm #mag7 #aapl #msft #goog #nvda https://t.co/fy2qH408Tm"
"Mon Mar 17 23:04:33 +0000 2025","THE MAGNIFICENT SEVEN + PINS: (March 17, 2025): Downtrend if  MACD 30,57,27, TRIX,  MA8-21 are red. Uptrend when they change to dark blue. #SPX #SP500 #SPX500 #NYSE #NASDAQ100 #NASDAQ #Stocks #QQQ #dowjones #arkk #META  #TSLA #MSFT #AAPL #AMZN #NVDA #GOOGL #PINS #BRK #X #uber https://t.co/j2RZS7HHRL"
"Mon Mar 17 22:35:58 +0000 2025","He golfs as well as he runs the #US! 🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Mon Mar 17 22:31:51 +0000 2025","Last one out is Donnie's #Maggot!💸💸

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs https://t.co/lCX8NRxEfT"
"Mon Mar 17 22:00:31 +0000 2025","#米国株 #AAPL
             companyName：Apple Inc.
            株価：214$
            値動き($)：0.51$
            値動き(%)：0.238%"
"Mon Mar 17 21:09:23 +0000 2025","#AAPL 

I’m feeling confident Apple will be trending up this week. Buy the dips!"
"Mon Mar 17 20:54:18 +0000 2025","Let's go mess up Donnie's #oil &amp; #gas #tariff agenda against #Canada!🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas"
"Mon Mar 17 20:29:11 +0000 2025","$AAPL - Daily B-Xtrender STMO changed to ↗️ (HL) https://t.co/KsxOOCHsFV #BXTracker #BXtrender #AAPL"
"Mon Mar 17 20:17:44 +0000 2025","¿Dónde estarán las acciones de Apple en 5 años? #AAPL $AAPL
https://t.co/7PW8i47WpK"
"Mon Mar 17 20:13:53 +0000 2025","#سهم_الأمريكية #الاوبشن #سباكس #السوق_الامريكي #التحليل_الفني #spy #SPX500 #AAPL  #NVDA

عقود (#SPX)

ولله الحمد https://t.co/JRggR6OHzS"
"Mon Mar 17 19:43:32 +0000 2025","#Trump: ""You hang up!""❤️🥰

#Putin: ""No, you hang up first!""❤️🥰

#ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oil #gas #Canada #tariffs"
"Mon Mar 17 19:12:17 +0000 2025","Apple atravesó su peor semana desde 2022: ¿todavía es un refugio seguro? #AAPL $AAPL 
https://t.co/YnIA5PyDRQ"
