createdAt,text,Text_Cleaned
2025-03-18 05:50:21+00:00,Significant Market Inflows - Buy the Dip! As noted in previous twt the market seems to be in ‘things will get better’ scenario psychologically. We’ll see. @spotgamma @jam_croissant @johnauthers @michaellebowitz #SPX500 #QQQ #SPY #ES_F #NVDA #AAPL #MSFT h/t @Mayhem4Markets,Significant Market Inflows Buy the Dip As noted in previous twt the market seems to be in things will get better scenario psychologically Well see spotgamma jamcroissant johnauthers michaellebowitz SPX QQQ SPY ESF NVDA AAPL MSFT ht MayhemMarkets
2025-03-18 04:31:39+00:00,"Great work, Don Don!🤣🤣🤣

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs https://t.co/mykZDJ6Lbb",Great work Don Don Trump ElonMusk Tesla SpaceX Dogecoin TSLA DonaldTrump Alberta ableg abpoli cdnpoli cdnecon NVDA GOOG AAPL META MSFT AMZN DOGEGOV BTC ETH SOL Trump DOGE XRP oott com NaturalGas ongt oilandgas oil gas Canada tariffs tcomykZDJLbb
2025-03-18 04:23:45+00:00,"#PierrePoilievre is a Baby Donnie #Maggot!💯🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs",PierrePoilievre is a Baby Donnie Maggot Trump ElonMusk Tesla Dogecoin TSLA DonaldTrump ableg abpoli cdnpoli cdnecon NVDA GOOG AAPL META MSFT AMZN DOGEGOV BTC ETH SOL Trump DOGE XRP oott com NaturalGas ongt oilandgas oil gas Canada tariffs
2025-03-18 04:17:54+00:00,"Donnie keeps starting wars!🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs",Donnie keeps starting wars Trump ElonMusk Tesla Dogecoin TSLA DonaldTrump Alberta ableg abpoli cdnpoli cdnecon NVDA GOOG AAPL META MSFT AMZN DOGEGOV BTC ETH SOL Trump DOGE XRP oott com NaturalGas ongt oilandgas oil gas Canada tariffs
2025-03-18 04:16:53+00:00,"Donnie's colossal FAIL!🤣🤣🤣

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs",Donnies colossal FAIL Trump ElonMusk Tesla SpaceX Dogecoin TSLA DonaldTrump Alberta ableg abpoli cdnpoli cdnecon NVDA GOOG AAPL META MSFT AMZN DOGEGOV BTC ETH SOL Trump DOGE XRP oott com NaturalGas ongt oilandgas oil gas Canada tariffs
2025-03-18 04:13:30+00:00,"And stock crashes as a result 🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs https://t.co/lxB4IReJK2",And stock crashes as a result Trump ElonMusk Tesla Dogecoin TSLA DonaldTrump Alberta ableg abpoli cdnpoli cdnecon NVDA GOOG AAPL META MSFT AMZN DOGEGOV BTC ETH SOL Trump DOGE XRP oott com NaturalGas ongt oilandgas oil gas Canada tariffs tcolxBIReJK
2025-03-18 04:10:14+00:00,"Donnie keeps starting more wars!🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs",Donnie keeps starting more wars Trump ElonMusk Tesla Dogecoin TSLA DonaldTrump Alberta ableg abpoli cdnpoli cdnecon NVDA GOOG AAPL META MSFT AMZN DOGEGOV BTC ETH SOL Trump DOGE XRP oott com NaturalGas ongt oilandgas oil gas Canada tariffs
2025-03-18 04:07:04+00:00,"I hope #Houthis don't launch a #US terrorist attack because of Donnie!

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oil #gas #Canada #tariffs",I hope Houthis dont launch a US terrorist attack because of Donnie Trump ElonMusk Tesla Dogecoin TSLA DonaldTrump cdnpoli cdnecon NVDA GOOG AAPL META MSFT AMZN DOGEGOV BTC ETH SOL Trump DOGE XRP oott com NaturalGas ongt oil gas Canada tariffs
2025-03-18 04:03:37+00:00,"Donnie has so many wars as President!🤣🤣😄

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs",Donnie has so many wars as President Trump ElonMusk Tesla Dogecoin TSLA DonaldTrump ableg abpoli cdnpoli cdnecon NVDA GOOG AAPL META MSFT AMZN DOGEGOV BTC ETH SOL Trump DOGE XRP oott com NaturalGas ongt oilandgas oil gas Canada tariffs
2025-03-18 03:46:48+00:00,"Wars continue with Donnie as President!🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs",Wars continue with Donnie as President Trump ElonMusk Tesla Dogecoin TSLA DonaldTrump ableg abpoli cdnpoli cdnecon NVDA GOOG AAPL META MSFT AMZN DOGEGOV BTC ETH SOL Trump DOGE XRP oott com NaturalGas ongt oilandgas oil gas Canada tariffs
